Surname,First Names,Age,Boarded,Survivor (S) or Victim (†)
Allen,Miss Elisabeth Walton,29,Southampton,S
Allison,Mr Hudson Joshua Creighton,30,Southampton,†
Allison,Mrs Bessie Waldo,25,Southampton,†
Allison,Miss Helen Loraine,2,Southampton,†
Allison,Master Hudson Trevor,11m,Southampton,S
Anderson,Mr Harry,47,Southampton,S
Andrews,Miss Kornelia Theodosia,62,Cherbourg,S
Andrews,Mr Thomas,39,Belfast,†
Appleton,Mrs Charlotte,53,Southampton,S
Artagaveytia,Mr Ramon,71,Cherbourg,†
Astor,Colonel John Jacob,47,Cherbourg,†
Astor,Mrs Madeleine Talmage,18,Cherbourg,S
Aubart,Mme. Léontine Pauline “Ninette”,24,Cherbourg,S
Barber,Miss Ellen Mary (Maid to Mrs Tyrell William Cavendish),26,Southampton,S
Barkworth,Mr Algernon Henry,47,Southampton,S
Bassani,Mrs Albina (Maid to Mrs William Robert Bucknell),32,Cherbourg,S
Baumann,Mr John D.,60,Cherbourg,†
Baxter,Mrs Hélène,50,Cherbourg,S
Baxter,Mr Quigg Edmond,24,Cherbourg,†
Beattie,Mr Thomson,36,Southampton,†
Beckwith,Mr Richard Leonard,37,Southampton,S
Beckwith,Mrs Sallie,46,Southampton,S
Behr,Mr Karl Howell,26,Cherbourg,S
Bessette,Miss Nellie Mayo (Maid to Mrs Ella Holmes White),39,Cherbourg,S
Bidois,Miss Rosalie (Maid to Mrs John Jacob Astor),46,Cherbourg,S
Bird,Miss Ellen (Maid to Mr & Mrs Isodor Straus),31,Southampton,S
Birnbaum,Mr Jakob,24,Cherbourg,†
Bishop,Mr Dickinson H.,25,Cherbourg,S
Bishop,Mrs Helen,19,Cherbourg,S
Björnström-Steffansson,Mr Mauritz Hokan,28,Southampton,S
Blackwell,Mr Stephen Weart,45,Southampton,†
Blank,Mr Henry,39,Cherbourg,S
Bonnell,Miss Caroline,30,Southampton,S
Bonnell,Miss Elizabeth,61,Southampton,S
Borebank,Mr John James,42,Southampton,†
Bowen,Miss Grace Scott (Maid to Mr & Mrs Arthur Ryerson),45,Cherbourg,S
Bowerman,Miss Elsie Edith,22,Southampton,S
Brady,Mr John Bertram,41,Southampton,†
Brandeis,Mr Emil Franklin,48,Cherbourg,†
Brereton,Mr George Andrew,37,Southampton,S
Brewe,Dr Arthur Jackson,45,Cherbourg,†
Brown,Mrs Caroline Lane,59,Southampton,S
Brown,Mrs Margaret “Molly”,44,Cherbourg,S
Bucknell,Mrs Emma Eliza,58,Cherbourg,S
Burns,Miss Elizabeth Margaret (Nanny to Master Robert Douglas Spedden),41,Cherbourg,S
Butt,Major Archibald Willingham,46,Southampton,†
Cairns,Mr Alexander Milne (Manservant to Mr William Ernest Carter),28,Southampton,†
Calderhead,Mr Edward Pennington,42,Southampton,S
Candee,Mrs Helen Churchill,52,Cherbourg,S
Cardeza,Mrs Charlotte Wardle,58,Cherbourg,S
Cardeza,Mr Thomas Drake Martinez,36,Cherbourg,S
Carlsson,Mr Frans Olof,33,Southampton,†
Carraú-Esteves,Mr José Pedro,17,Southampton,†
Carrau,Mr Francisco Mauro Severiano,27,Southampton,†
Carter,Mr William Ernest,36,Southampton,S
Carter,Mrs Lucile,36,Southampton,S
Carter,Miss Lucile Polk,13,Southampton,S
Carter,Master William Thornton II,11,Southampton,S
Case,Mr Howard Brown,49,Southampton,†
Cassebeer,Mrs Eleanor Genevieve,36,Cherbourg,S
Cavendish,Mr Tyrell William,36,Southampton,†
Cavendish,Mrs Julia Florence,25,Southampton,S
Chaffee,Mr Herbert Fuller,46,Southampton,†
Chaffee,Mrs Carrie Constance,47,Southampton,S
Chambers,Mr Norman Campbell,27,Southampton,S
Chambers,Mrs Bertha,32,Southampton,S
Chaudanson,Miss Victorine (Maid to Mrs Emily Ryerson),36,Cherbourg,S
Cherry,Miss Gladys,30,Southampton,S
Chevré,Mr Paul Romaine Marie Léonce,45,Cherbourg,S
Chibnall,Mrs Edith Martha Bowerman,48,Southampton,S
Chisholm,Mr Roderick Robert Crispin,43,Belfast,†
